facility_code,institution,city,state,zip,country,type,correspondence,flight,bah,cross,ope,insturl,vet_tuition_policy_url,pred_degree_awarded,locale,gibill,undergrad_enrollment,yr,student_veteran,student_veteran_link,poe,eight_keys,dodmou,sec_702,vetsuccess_name,vetsuccess_email,credit_for_mil_training,vet_poc,student_vet_grp_ipeds,soc_member,va_highest_degree_offered,retention_rate_veteran_ba,retention_all_students_ba,retention_rate_veteran_otb,retention_all_students_otb,persistance_rate_veteran_ba,persistance_rate_veteran_otb,graduation_rate_veteran,graduation_rate_all_students,transfer_out_rate_veteran,transfer_out_rate_all_students,salary_all_students,repayment_rate_all_students,avg_stu_loan_debt,calendar,tuition_in_state,tuition_out_of_state,books,online_all,p911_tuition_fees,p911_recipients,p911_yellow_ribbon,p911_yr_recipients,accredited,accreditation_type,accreditation_status,caution_flag,caution_flag_reason,complaints_facility_code,complaints_financial_by_fac_code,complaints_quality_by_fac_code,complaints_refund_by_fac_code,complaints_marketing_by_fac_code,complaints_accreditation_by_fac_code,complaints_degree_requirements_by_fac_code,complaints_student_loans_by_fac_code,complaints_grades_by_fac_code,complaints_credit_transfer_by_fac_code,complaints_job_by_fac_code,complaints_transcript_by_fac_code,complaints_other_by_fac_code,complaints_main_campus_roll_up,complaints_financial_by_ope_id_do_not_sum,complaints_quality_by_ope_id_do_not_sum,complaints_refund_by_ope_id_do_not_sum,complaints_marketing_by_ope_id_do_not_sum,complaints_accreditation_by_ope_id_do_not_sum,complaints_degree_requirements_by_ope_id_do_not_sum,complaints_student_loans_by_ope_id_do_not_sum,complaints_grades_by_ope_id_do_not_sum,complaints_credit_transfer_by_ope_id_do_not_sum,complaints_jobs_by_ope_id_do_not_sum,complaints_transcript_by_ope_id_do_not_sum,complaints_other_by_ope_id_do_not_sum
20497046,84 LUMBER (1708),PULASKI,VA,24301,USA,OJT,,,1111,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20491946,84 LUMBER (1711),SALEM,VA,24153,USA,OJT,,,1162,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20492246,84 LUMBER (1715),LYNCHBURG,VA,24572,USA,OJT,,,1081,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20492646,84 LUMBER (1723),BLAIRS,VA,24527,USA,OJT,,,1129,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20480717,84 LUMBER COMPANY,FLORENCE,KY,41042,USA,OJT,,,1282,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20486117,84 LUMBER COMPANY,HENDERSON,KY,42420,USA,OJT,,,1168,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20486517,84 LUMBER COMPANY,LOUISVILLE,KY,40229,USA,OJT,,,1399,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20499817,84 LUMBER COMPANY,HOPKINSVILLE,KY,42240,USA,OJT,,,1312,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20504917,84 LUMBER COMPANY,RUSSELLVILLE,KY,42276,USA,OJT,,,976,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20B72435,84 LUMBER COMPANY,AKRON,OH,44305,USA,OJT,,,1111,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20C97733,84 LUMBER COMPANY,NEWTON,NC,28658,USA,OJT,,,1111,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20800130,84 LUMBER COMPANY PENNINGTON,Mount Holly,NJ,8060,USA,OJT,,,1978,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20497748,84 LUMBER COMPANY-MINERAL WELLS,MINERAL WELLS,WV,26150,USA,OJT,,,1111,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20170920,84 LUMBER STORE,POCOMOKE,MD,21851,USA,OJT,,,1381,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25200439,911 PROGRAMS INC,Warwick,RI,2886,USA,For Profit,,,1870,NONE,NONE,,,,,3,,,,,,,,,,,,,,,NCD,,,,,,,,,,,,,,,,,,,"11,806.50",2,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103C7305,9TH SUPPORT DIVISION VEHICLE MAINT,BEALE AFB,CA,95903,USA,OJT,,,1528,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20201312,A & B ELECTRIC,BOISE,ID,83709,USA,OJT,,,943,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20537835,A & B TOOL AND MANUFACTURING CORPORATION,TOLEDO,OH,43609,USA,OJT,,,1063,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20C90849,A & E MANUFACTURING COMPANY,RACINE,WI,53401,USA,OJT,,,1591,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
